item_kind,id,title,slug,url,post_type,status,published_at,modified_at,mime_type,parent_id,content_length,quality_flags,migration_recommendation
"media","1166","geefe26c381be35df73f4a32af7d88dc16f24a92720692c96e67eb301c9df7bef007999fbdd51e92ad24a36bab4a8050c_1280-180339","geefe26c381be35df73f4a32af7d88dc16f24a92720692c96e67eb301c9df7bef007999fbdd51e92ad24a36bab4a8050c_1280-180339","https://avukatgulcinkahraman.com/wp-content/uploads/2024/08/geefe26c381be35df73f4a32af7d88dc16f24a92720692c96e67eb301c9df7bef007999fbdd51e92ad24a36bab4a8050c_1280-180339.jpg","attachment","inherit","2024-08-18 10:34:22","2024-08-18 10:34:22","image/jpeg","0","0","","media_review"
"form","1181","Kubio Contact Form","kubio-contact-form","https://avukatgulcinkahraman.com/?post_type=forminator_forms&p=1181","forminator_forms","publish","2024-08-18 11:29:52","2024-08-18 11:29:52","","0","0","","rebuild_and_test"
"form","1182","İletişim Formu","","https://avukatgulcinkahraman.com/?post_type=forminator_forms&p=1182","forminator_forms","draft","2024-08-18 11:30:28","2024-08-18 11:30:28","","0","0","","exclude_draft"
"media","1213","1674644253932-Photoroom","1674644253932-photoroom-2","https://avukatgulcinkahraman.com/wp-content/uploads/2024/08/1674644253932-Photoroom-1.png","attachment","inherit","2024-08-18 17:16:23","2024-08-18 17:16:23","image/png","0","0","","media_review"
"media","1216","Law concept, owl in a judge gavel concept","law-concept-owl-in-a-judge-gavel-concept-3","https://avukatgulcinkahraman.com/wp-content/uploads/2024/08/topuz.jpg","attachment","inherit","2024-08-18 17:21:09","2024-08-18 17:21:09","image/jpeg","0","0","","media_review"
"page","1302","Kanser İlacı Davaları","kanser-ilaci-davalari","https://avukatgulcinkahraman.com/kanser-ilaci-davalari/","page","publish","2024-08-28 12:54:18","2024-12-19 13:30:12","","0","5656","kubio","rebuild_clean_content"
"media","1304","about1-1.jpg","about1-1-jpg","https://static.kubiobuilder.com/snippets/free-about-2023-1-1724222521/assets/2024/08/about1-1.jpg","attachment","inherit","2024-08-28 12:55:01","2024-08-28 12:55:01","image/jpeg","0","0","","exclude_demo"
"media","1317","Remove-bg.ai_1725995637743","remove-bg-ai_1725995637743","https://avukatgulcinkahraman.com/wp-content/uploads/2024/09/Remove-bg.ai_1725995637743.png","attachment","inherit","2024-09-10 19:14:22","2024-09-10 19:14:22","image/png","0","0","","media_review"
"page","1356","Makaleler","makaleler","https://avukatgulcinkahraman.com/makaleler/","page","publish","2024-09-29 07:31:17","2024-09-29 07:45:07","","0","16373","kubio","rebuild_clean_content"
"page","1427","Aile Hukuku 2","aile-hukuku-2","https://avukatgulcinkahraman.com/aile-hukuku-2/","page","publish","2024-12-07 12:03:04","2024-12-07 12:04:02","","0","1391","kubio","merge_301_to_aile-hukuku"
"page","1430","Aile Hukuku","aile-hukuku","https://avukatgulcinkahraman.com/aile-hukuku/","page","publish","2024-12-07 12:04:22","2024-12-19 13:23:18","","0","3587","kubio","rebuild_clean_content"
"page","1432","Kira Tespit ve Tahliye","kira-tespit-ve-tahliye","https://avukatgulcinkahraman.com/kira-tespit-ve-tahliye/","page","publish","2024-12-07 12:08:05","2024-12-19 13:28:22","","0","3999","kubio","rebuild_clean_content"
"media","1436","unnamed","unnamed","https://avukatgulcinkahraman.com/wp-content/uploads/2024/12/unnamed.jpg","attachment","inherit","2024-12-07 12:59:16","2024-12-07 12:59:16","image/jpeg","0","0","","media_review"
"media","1437","unnamed","unnamed-2","https://avukatgulcinkahraman.com/wp-content/uploads/2024/12/unnamed-1.jpg","attachment","inherit","2024-12-07 12:59:39","2024-12-07 12:59:39","image/jpeg","0","0","","media_review"
"media","1441","kanser-tedavisi-icin-diski-fayda-saglayabilir-bir-ortaokul-ogrencisinden-surpriz-kesif-17334066002384_2","kanser-tedavisi-icin-diski-fayda-saglayabilir-bir-ortaokul-ogrencisinden-surpriz-kesif-17334066002384_2","https://avukatgulcinkahraman.com/wp-content/uploads/2024/12/kanser-tedavisi-icin-diski-fayda-saglayabilir-bir-ortaokul-ogrencisinden-surpriz-kesif-17334066002384_2.jpg","attachment","inherit","2024-12-07 13:16:44","2024-12-07 13:16:44","image/jpeg","0","0","","media_review"
"media","1444","kanser-tedavisi-icin-diski-fayda-saglayabilir-bir-ortaokul-ogrencisinden-surpriz-kesif-17334066002384_2","kanser-tedavisi-icin-diski-fayda-saglayabilir-bir-ortaokul-ogrencisinden-surpriz-kesif-17334066002384_2-2","https://avukatgulcinkahraman.com/wp-content/uploads/2024/12/kanser-tedavisi-icin-diski-fayda-saglayabilir-bir-ortaokul-ogrencisinden-surpriz-kesif-17334066002384_2-1.jpg","attachment","inherit","2024-12-07 13:17:56","2024-12-07 13:17:56","image/jpeg","0","0","","media_review"
"media","1447","kanser-tedavisi-icin-diski-fayda-saglayabilir-bir-ortaokul-ogrencisinden-surpriz-kesif-17334066002384_2","kanser-tedavisi-icin-diski-fayda-saglayabilir-bir-ortaokul-ogrencisinden-surpriz-kesif-17334066002384_2-3","https://avukatgulcinkahraman.com/wp-content/uploads/2024/12/kanser-tedavisi-icin-diski-fayda-saglayabilir-bir-ortaokul-ogrencisinden-surpriz-kesif-17334066002384_2-1-edited.jpg","attachment","inherit","2024-12-07 13:18:53","2024-12-07 13:18:53","image/jpeg","0","0","","media_review"
"media","1448","kanser-tedavisi-icin-diski-fayda-saglayabilir-bir-ortaokul-ogrencisinden-surpriz-kesif-17334066002384_2","kanser-tedavisi-icin-diski-fayda-saglayabilir-bir-ortaokul-ogrencisinden-surpriz-kesif-17334066002384_2-4","https://avukatgulcinkahraman.com/wp-content/uploads/2024/12/kanser-tedavisi-icin-diski-fayda-saglayabilir-bir-ortaokul-ogrencisinden-surpriz-kesif-17334066002384_2-2.jpg","attachment","inherit","2024-12-07 13:19:32","2024-12-07 13:19:32","image/jpeg","0","0","","media_review"
"media","1460","kira","kira","https://avukatgulcinkahraman.com/wp-content/uploads/2024/12/kira.jpg","attachment","inherit","2024-12-19 13:07:44","2024-12-19 13:07:44","image/jpeg","0","0","","media_review"
"media","1477","PHOTO-2025-12-01-11-15-14","photo-2025-12-01-11-15-14","https://avukatgulcinkahraman.com/wp-content/uploads/2025/12/PHOTO-2025-12-01-11-15-14.jpg","attachment","inherit","2025-12-01 08:31:34","2025-12-01 08:31:34","image/jpeg","0","0","","candidate_portrait"
